chr	cM	mk	mk.chr	start	stop
3	8.219387779	3.012	3	1500001	2000000
3	8.561200597	3.013	3	2000001	2500000
3	12.28264557	3.014	3	2500001	3000000
3	15.19714327	3.015	3	3000001	3500000
3	16.40536917	3.016	3	3500001	4000000
3	19.60922105	3.017	3	4000001	4500000
3	20.13325206	3.018	3	4500001	5000000
3	21.00502656	3.019	3	5000001	5500000
3	21.65613829	3.02	3	5500001	6000000
3	22.19145376	3.021	3	6000001	6500000
3	22.191454	3.022	3	6500001	7000000
3	23.45831007	3.023	3	7000001	7500000
3	24.55194708	3.024	3	7500001	8000000
3	24.55194718	3.025	3	8000001	8500000
3	25.03077198	3.026	3	8500001	9000000
3	25.18998474	3.027	3	9000001	9100000
3	25.18998484	3.028	3	9100001	9200000
3	25.18998494	3.109	3	24800001	24900000
3	25.18998504	3.061	3	12400001	12500000
3	25.18998514	3.06	3	12300001	12400000
3	25.18998524	3.059	3	12200001	12300000
3	25.18998534	3.058	3	12100001	12200000
3	25.50900902	3.057	3	12000001	12100000
3	25.50900912	3.056	3	11900001	12000000
3	25.50900922	3.095	3	21400001	21500000
3	25.50900932	3.096	3	21500001	21600000
3	25.50900942	3.097	3	21600001	21700000
3	25.66838277	3.067	3	13000001	13100000
3	25.66838287	3.066	3	12900001	13000000
3	25.66838297	3.065	3	12800001	12900000
3	25.66838307	3.052	3	11500001	11600000
3	25.66838317	3.051	3	11400001	11500000
3	25.66838327	3.05	3	11300001	11400000
3	25.66838337	3.049	3	11200001	11300000
3	25.66838347	6.34	6	19800001	20000000
3	25.66838357	3.044	3	10700001	10800000
3	25.82775773	3.043	3	10600001	10700000
3	25.82775783	3.042	3	10500001	10600000
3	25.82775793	3.041	3	10400001	10500000
3	25.82775803	3.04	3	10300001	10400000
3	25.98713301	3.039	3	10200001	10300000
3	25.98713311	3.038	3	10100001	10200000
3	25.98713321	3.037	3	10000001	10100000
3	25.98713331	3.036	3	9900001	10000000
3	26.14650844	3.035	3	9800001	9900000
3	26.30588307	3.034	3	9700001	9800000
3	26.46525658	3.033	3	9600001	9700000
3	26.46525668	3.032	3	9500001	9600000
3	26.46525678	3.031	3	9400001	9500000
3	26.46525688	3.03	3	9300001	9400000
3	26.46525698	3.029	3	9200001	9300000
3	26.62462952	3.045	3	10800001	10900000
3	26.62462962	3.046	3	10900001	11000000
3	26.62462972	3.047	3	11000001	11100000
3	26.62462982	3.048	3	11100001	11200000
3	26.62462992	3.053	3	11600001	11700000
3	26.62463002	3.054	3	11700001	11800000
3	26.62463012	3.055	3	11800001	11900000
3	26.62463022	3.062	3	12500001	12600000
3	26.62463032	3.063	3	12600001	12700000
3	26.62463042	3.064	3	12700001	12800000
3	26.62463052	3.068	3	13100001	13200000
3	26.62463062	3.069	3	13200001	13300000
3	26.62463072	3.07	3	13300001	13400000
3	26.62463082	3.071	3	13400001	13500000
3	26.62463092	3.072	3	13500001	13600000
3	26.62463102	3.073	3	13600001	13700000
3	26.62463112	3.074	3	13700001	13800000
3	26.62463122	3.075	3	13800001	13900000
3	26.62463132	3.076	3	13900001	14000000
3	26.62463142	3.077	3	14000001	14500000
3	26.62463152	3.078	3	14500001	15000000
3	26.62463162	3.079	3	15000001	15500000
3	26.62463172	3.08	3	15500001	16000000
3	26.62463182	3.081	3	16000001	16500000
3	26.62463192	3.082	3	16500001	17000000
3	26.62463202	3.083	3	17000001	17500000
3	26.62463212	3.084	3	17500001	18000000
3	26.62463222	3.085	3	18000001	18500000
3	26.62463232	3.086	3	18500001	19000000
3	26.62463242	3.087	3	19000001	19500000
3	26.62463252	3.088	3	19500001	20000000
3	26.62463262	3.089	3	20000001	20500000
3	26.62463272	3.09	3	20500001	21000000
3	26.62463282	3.091	3	21000001	21100000
3	26.62463292	3.092	3	21100001	21200000
3	26.62463302	3.093	3	21200001	21300000
3	26.62463312	3.094	3	21300001	21400000
3	26.62463322	3.098	3	21700001	21800000
3	26.62463332	3.099	3	21800001	21900000
3	26.62463342	3.1	3	21900001	22000000
3	26.62463352	3.101	3	22000001	22500000
3	26.62463362	3.102	3	22500001	23000000
3	26.62463372	3.103	3	23000001	23500000
3	26.62463382	3.104	3	23500001	24000000
3	26.62463392	3.105	3	24000001	24500000
3	26.62463402	3.106	3	24500001	24600000
3	26.62463412	3.107	3	24600001	24700000
3	26.62463422	3.108	3	24700001	24800000
3	26.62463432	3.11	3	24900001	25000000
3	26.62463442	3.111	3	25000001	25100000
3	26.62463452	3.112	3	25100001	25200000
3	26.62463462	3.113	3	25200001	25300000
3	26.62463472	3.114	3	25300001	25400000
3	26.62463482	3.115	3	25400001	25500000
3	26.62463492	3.116	3	25500001	26000000
3	26.62463502	3.117	3	26000001	26500000
3	26.62463512	3.12	3	27500001	28000000
3	27.10358842	3.121	3	28000001	28500000
3	27.10358852	3.119	3	27000001	27500000
3	27.10358862	3.118	3	26500001	27000000
3	27.74282127	3.122	3	28500001	29000000
3	27.74282137	3.124	3	29500001	30000000
3	28.06189459	3.125	3	30000001	30500000
3	28.22119056	3.123	3	29000001	29500000
3	28.38048651	3.126	3	30500001	31000000
3	28.6995244	3.127	3	31000001	31500000
3	29.17873663	3.128	3	31500001	32000000
3	29.36907535	3.129	3	32000001	32500000
3	30.14335863	3.13	3	32500001	33000000
3	30.86340692	3.131	3	33000001	33500000
3	31.47687096	3.132	3	33500001	34000000
3	32.46967312	3.133	3	34000001	34500000
3	33.40137115	3.134	3	34500001	35000000
3	34.78299736	3.135	3	35000001	35500000
3	37.30761675	3.136	3	35500001	36000000
3	38.18190395	3.137	3	36000001	36500000
3	41.71926336	3.138	3	36500001	37000000
3	43.52679896	3.139	3	37000001	37500000
3	47.90745255	3.14	3	37500001	38000000
3	50.44042476	3.141	3	38000001	38500000
3	52.45796116	3.142	3	38500001	39000000
3	54.09129166	3.143	3	39000001	39500000
3	56.39927703	3.144	3	39500001	40000000
3	58.20421556	3.145	3	40000001	40500000
3	61.49598658	3.146	3	40500001	41000000
3	62.49169414	3.147	3	41000001	41500000
3	66.11005265	3.148	3	41500001	42000000
3	67.88454716	3.149	3	42000001	42709656
4	0.00	4.001	4	1	500000
4	1.45	4.002	4	500001	1000000
4	4.26	4.003	4	1000001	1500000
4	9.29	4.004	4	1500001	2000000
4	14.62	4.005	4	2000001	2500000
4	16.23	4.006	4	2500001	3000000
4	18.53	4.007	4	3000001	3500000
4	19.67	4.008	4	3500001	4000000
4	22.22	4.009	4	4000001	4500000
4	24.47	4.01	4	4500001	5000000
4	25.03	4.011	4	5000001	5100000
4	25.23	4.012	4	5100001	5200000
4	25.23	4.013	4	5200001	5300000
4	25.63	4.014	4	5300001	5400000
4	26.03	4.015	4	5400001	5500000
4	26.03	4.018	4	5700001	5800000
4	26.35	4.019	4	5800001	5900000
4	26.54	4.02	4	5900001	6000000
4	27.39	4.021	4	6000001	6500000
4	28.90	4.022	4	6500001	7000000
4	29.74	4.023	4	7000001	7500000
4	31.09	4.024	4	7500001	8000000
4	31.64	4.025	4	8000001	8500000
4	31.64	4.026	4	8500001	9000000
4	34.16	4.027	4	9000001	9500000
4	34.76	4.028	4	9500001	10000000
4	35.59	4.029	4	10000001	10500000
4	35.81	4.03	4	10500001	11000000
4	37.05	4.031	4	11000001	11500000
4	37.26	4.032	4	11500001	12000000
4	37.58	4.033	4	12000001	12500000
4	37.97	4.034	4	12500001	13000000
4	38.37	4.04	4	17100001	17200000
4	38.37	4.039	4	17000001	17100000
4	38.85	4.038	4	16000001	17000000
4	38.85	4.037	4	15000001	16000000
4	38.85	4.036	4	14000001	15000000
4	38.85	4.035	4	13000001	14000000
4	38.85	7.021	7	10000001	10200000
4	39.33	4.046	4	17700001	17800000
4	39.49	4.047	4	17800001	17900000
4	39.49	4.048	4	17900001	18000000
4	40.13	4.049	4	18000001	18100000
4	40.13	4.05	4	18100001	18200000
4	40.29	4.051	4	18200001	18300000
4	40.29	4.052	4	18300001	18400000
4	40.29	4.053	4	18400001	18500000
4	40.29	4.054	4	18500001	18600000
4	40.77	4.059	4	19000001	19100000
4	41.09	4.055	4	18600001	18700000
4	41.09	4.056	4	18700001	18800000
4	41.09	4.06	4	19100001	19200000
4	41.09	4.061	4	19200001	19300000
4	41.09	4.062	4	19300001	19400000
4	41.09	4.071	4	20200001	20300000
4	41.09	4.07	4	20100001	20200000
4	41.41	4.069	4	20000001	20100000
4	41.57	4.063	4	19400001	19500000
4	41.57	4.064	4	19500001	19600000
4	41.88	4.065	4	19600001	19700000
4	42.04	4.076	4	20700001	20800000
4	42.04	4.077	4	20800001	20900000
4	42.36	4.072	4	20300001	20400000
4	42.36	4.073	4	20400001	20500000
4	42.36	4.074	4	20500001	20600000
4	42.36	4.075	4	20600001	20700000
4	42.52	4.078	4	20900001	21000000
4	42.52	4.079	4	21000001	21100000
4	42.84	4.08	4	21100001	21200000
4	42.84	4.081	4	21200001	21300000
4	42.84	4.085	4	21600001	21700000
4	42.84	4.086	4	21700001	21800000
4	42.84	4.087	4	21800001	21900000
4	43.00	4.066	4	19700001	19800000
4	43.00	4.067	4	19800001	19900000
4	43.00	4.068	4	19900001	20000000
4	43.00	4.082	4	21300001	21400000
4	43.00	4.083	4	21400001	21500000
4	43.00	4.084	4	21500001	21600000
4	43.00	4.088	4	21900001	22000000
4	43.92	4.089	4	22000001	22100000
4	44.28	4.09	4	22100001	22200000
4	44.28	4.091	4	22200001	22300000
4	44.60	4.092	4	22300001	22400000
4	44.60	4.093	4	22400001	22500000
4	44.60	4.094	4	22500001	22600000
4	44.60	4.095	4	22600001	22700000
4	44.60	4.096	4	22700001	22800000
4	44.76	4.106	4	23700001	23800000
4	44.76	4.107	4	23800001	23900000
4	44.76	4.108	4	23900001	24000000
4	44.92	4.097	4	22800001	22900000
4	44.92	4.098	4	22900001	23000000
4	44.92	4.099	4	23000001	23100000
4	44.92	4.1	4	23100001	23200000
4	44.92	4.104	4	23500001	23600000
4	44.92	4.105	4	23600001	23700000
4	44.92	4.109	4	24000001	24500000
4	45.00	4.11	4	24500001	25000000
4	45.08	4.111	4	25000001	25500000
4	45.08	4.112	4	25500001	26000000
4	45.24	4.113	4	26000001	27000000
4	45.24	4.101	4	23200001	23300000
4	45.24	4.102	4	23300001	23400000
4	45.24	4.103	4	23400001	23500000
4	45.39	4.041	4	17200001	17300000
4	45.39	4.042	4	17300001	17400000
4	45.39	4.043	4	17400001	17500000
4	45.39	4.044	4	17500001	17600000
4	45.39	4.045	4	17600001	17700000
4	45.39	4.016	4	5500001	5600000
4	45.39	4.017	4	5600001	5700000
4	45.39	4.057	4	18800001	18900000
4	45.39	4.058	4	18900001	19000000
4	45.39	4.114	4	27000001	28000000
4	45.39	4.115	4	28000001	29000000
4	45.39	4.116	4	29000001	30000000
4	45.39	4.117	4	30000001	31000000
4	45.71	7.067	7	29000001	29100000
4	45.71	7.068	7	29100001	29200000
4	45.71	4.118	4	31000001	32000000
4	46.03	4.119	4	32000001	33000000
4	46.03	4.12	4	33000001	34000000
4	46.03	4.121	4	34000001	35000000
4	46.67	4.122	4	35000001	35500000
4	47.05	4.123	4	35500001	36000000
4	47.63	4.124	4	36000001	36500000
4	47.63	4.126	4	37000001	37500000
4	47.79	4.127	4	37500001	38000000
4	47.79	4.128	4	38000001	38500000
4	48.27	4.125	4	36500001	37000000
4	48.71	4.129	4	38500001	39000000
4	49.95	4.13	4	39000001	39500000
4	51.19	4.131	4	39500001	40000000
4	51.99	4.132	4	40000001	40500000
4	54.37	4.133	4	40500001	41000000
4	57.64	4.134	4	41000001	41500000
4	58.26	4.135	4	41500001	42000000
4	58.67	4.136	4	42000001	42500000
4	64.50	4.137	4	42500001	43000000
4	67.10	4.138	4	43000001	43500000
4	71.75	4.139	4	43500001	44000000
4	76.61	4.14	4	44000001	44500000
4	83.13	4.141	4	44500001	45000000
4	88.31	4.142	4	45000001	45830269
5	0.00	5.01	5	1	500000
5	0.22	5.02	5	500001	1000000
5	3.56	5.03	5	1000001	1500000
5	4.78	5.04	5	1500001	2000000
5	8.76	5.05	5	2000001	2500000
5	11.88	5.06	5	2500001	3000000
5	15.06	5.07	5	3000001	3500000
5	18.48	5.08	5	3500001	4000000
5	19.97	5.09	5	4000001	4500000
5	21.97	5.1	5	4500001	5000000
5	24.50	5.11	5	5000001	5500000
5	25.75	5.12	5	5500001	6000000
5	27.16	5.13	5	6000001	6500000
5	29.24	5.14	5	6500001	7000000
5	31.25	5.15	5	7000001	7400000
5	34.50	5.17	5	7700001	8500000
5	35.91	5.18	5	8500001	9000000
5	37.56	5.19	5	9000001	9500000
5	37.93	5.2	5	9500001	10000000
5	39.25	5.3	5	14500001	15000000
5	39.25	5.21	5	10000001	10500000
5	39.95	5.22	5	10500001	11000000
5	40.59	5.23	5	11000001	11500000
5	40.77	5.24	5	11500001	12000000
5	41.81	5.25	5	12000001	12500000
5	42.03	5.26	5	12500001	13000000
5	42.03	5.27	5	13000001	13500000
5	42.50	5.28	5	13500001	14000000
5	43.47	5.37	5	20000001	21000000
5	43.47	5.36	5	19000001	20000000
5	43.47	5.35	5	18000001	19000000
5	43.47	5.34	5	17000001	18000000
5	43.62	5.33	5	16000001	17000000
5	43.62	5.32	5	15500001	16000000
5	43.62	5.31	5	15000001	15500000
5	44.10	5.38	5	21000001	22000000
5	44.10	5.39	5	22000001	23000000
5	44.10	5.29	5	14000001	14500000
5	44.10	5.4	5	23000001	24000000
5	44.10	5.41	5	24000001	25000000
5	44.10	5.42	5	25000001	26000000
5	44.10	5.43	5	26000001	27000000
5	44.10	5.44	5	27000001	28000000
5	44.10	5.45	5	28000001	29000000
5	44.10	5.46	5	29000001	30000000
5	44.10	5.47	5	30000001	31000000
5	44.26	5.48	5	31000001	31500000
5	44.26	5.49	5	31500001	32000000
5	44.26	5.5	5	32000001	32500000
5	44.26	5.51	5	32500001	33000000
5	44.26	5.52	5	33000001	33500000
5	44.26	5.53	5	33500001	34000000
5	44.42	5.54	5	34000001	34500000
5	44.83	5.55	5	34500001	35000000
5	45.16	5.56	5	35000001	35500000
5	45.86	5.57	5	35500001	36000000
5	46.18	5.58	5	36000001	36500000
5	46.56	5.59	5	36500001	37000000
5	47.12	5.6	5	37000001	37500000
5	48.38	5.61	5	37500001	38000000
5	48.95	5.62	5	38000001	38500000
5	50.07	5.63	5	38500001	39000000
5	50.68	5.64	5	39000001	39500000
5	51.69	5.65	5	39500001	40000000
5	52.94	5.66	5	40000001	40500000
5	53.35	5.67	5	40500001	41000000
5	54.40	5.68	5	41000001	41500000
5	55.55	5.69	5	41500001	42000000
5	57.08	5.7	5	42000001	42500000
5	59.93	5.71	5	42500001	43000000
5	61.69	5.72	5	43000001	43500000
5	64.68	5.73	5	43500001	44000000
5	66.55	5.74	5	44000001	44547717
6	0.00	6.01	6	1	500000
6	1.08	6.02	6	500001	1000000
6	6.93	6.03	6	1000001	1500000
6	11.28	6.04	6	1500001	2000000
6	13.99	6.05	6	2000001	2500000
6	18.30	6.06	6	2500001	3000000
6	20.98	6.07	6	3000001	3500000
6	22.98	6.08	6	3500001	4000000
6	26.63	6.09	6	4000001	4500000
6	28.12	6.1	6	4500001	5000000
6	29.38	6.11	6	5000001	5500000
6	32.12	6.12	6	5500001	6000000
6	34.10	6.13	6	6000001	6500000
6	35.09	6.14	6	6500001	7000000
6	36.87	6.15	6	7000001	7500000
6	38.66	6.16	6	7500001	8000000
6	40.30	6.17	6	8000001	8500000
6	41.57	6.18	6	8500001	9000000
6	41.77	6.19	6	9000001	9500000
6	41.93	6.2	6	9500001	10000000
6	42.13	6.21	6	10000001	10500000
6	42.73	6.22	6	10500001	11000000
6	43.05	6.23	6	11000001	11500000
6	43.21	6.24	6	11500001	12000000
6	43.21	6.25	6	12000001	13000000
6	43.21	6.26	6	13000001	14000000
6	43.21	6.27	6	14000001	15000000
6	43.21	6.28	6	15000001	16000000
6	43.21	6.29	6	16000001	17000000
6	43.21	6.3	6	17000001	18000000
6	43.21	6.31	6	18000001	19000000
6	43.21	6.32	6	19000001	19500000
6	43.21	6.33	6	19500001	19800000
6	43.21	6.35	6	20000001	21000000
6	43.21	6.36	6	21000001	22000000
6	43.21	6.37	6	22000001	23000000
6	43.21	6.38	6	23000001	24000000
6	43.53	6.39	6	24000001	25000000
6	43.69	6.4	6	25000001	26000000
6	43.69	6.41	6	26000001	26500000
6	44.09	6.42	6	26500001	27000000
6	45.24	6.43	6	27000001	27500000
6	45.73	6.44	6	27500001	28000000
6	46.62	6.45	6	28000001	28500000
6	47.71	6.46	6	28500001	29000000
6	48.35	6.47	6	29000001	29500000
6	48.76	6.48	6	29500001	30424310
7	0.00	7.001	7	1	500000
7	1.08	7.002	7	500001	1000000
7	5.60	7.003	7	1000001	1500000
7	8.89	7.004	7	1500001	2000000
7	11.67	7.005	7	2000001	2500000
7	14.25	7.006	7	2500001	3000000
7	17.04	7.007	7	3000001	3500000
7	18.35	7.008	7	3500001	4000000
7	21.51	7.009	7	4000001	4500000
7	23.07	7.01	7	4500001	5000000
7	25.34	7.011	7	5000001	5500000
7	26.62	7.012	7	5500001	6000000
7	28.37	7.013	7	6000001	6500000
7	30.95	7.014	7	6500001	7000000
7	32.27	7.015	7	7000001	7500000
7	33.42	7.016	7	7500001	8000000
7	35.55	7.017	7	8000001	8500000
7	36.09	7.018	7	8500001	9000000
7	36.09	7.019	7	9000001	9500000
7	37.19	7.02	7	9500001	10000000
7	37.37	7.022	7	10200001	10700000
7	37.69	7.023	7	10700001	11200000
7	37.69	7.024	7	11200001	11700000
7	38.33	7.025	7	11700001	12200000
7	38.33	7.026	7	12200001	12700000
7	39.05	7.027	7	12700001	13100000
7	39.29	7.029	7	13150001	13500000
7	39.29	7.03	7	13500001	14000000
7	39.61	7.031	7	14000001	14500000
7	39.61	7.032	7	14500001	15000000
7	39.61	7.033	7	15000001	16000000
7	39.92	7.034	7	16000001	17000000
7	39.92	7.035	7	17000001	18000000
7	39.92	7.036	7	18000001	19000000
7	39.92	7.037	7	19000001	20000000
7	39.92	7.038	7	20000001	21000000
7	39.92	7.039	7	21000001	22000000
7	39.92	7.04	7	22000001	23000000
7	39.92	7.041	7	23000001	24000000
7	39.92	7.042	7	24000001	25000000
7	39.92	7.043	7	25000001	25100000
7	39.92	7.044	7	25100001	25200000
7	39.92	7.045	7	25200001	25300000
7	39.92	7.046	7	25300001	25400000
7	39.92	7.047	7	25400001	25500000
7	39.92	7.048	7	25500001	25600000
7	39.92	7.049	7	25600001	25700000
7	39.92	7.05	7	25700001	25800000
7	39.92	7.056	7	26300001	26400000
7	39.92	7.057	7	26400001	26500000
7	39.92	7.058	7	26500001	26600000
7	39.92	7.059	7	26600001	26700000
7	39.92	7.06	7	26700001	26800000
7	39.92	7.061	7	26800001	26900000
7	39.92	7.062	7	26900001	27000000
7	39.92	7.063	7	27000001	27500000
7	39.92	7.064	7	27500001	28000000
7	39.92	7.065	7	28000001	28500000
7	39.92	7.066	7	28500001	29000000
7	39.92	7.069	7	29200001	29300000
7	39.92	7.07	7	29300001	29400000
7	39.92	7.071	7	29400001	29500000
7	39.92	7.072	7	29500001	29600000
7	39.92	7.073	7	29600001	29700000
7	39.92	7.074	7	29700001	29800000
7	39.92	7.075	7	29800001	29900000
7	39.92	7.076	7	29900001	30000000
7	39.92	7.077	7	30000001	30100000
7	39.92	7.078	7	30100001	30200000
7	39.92	7.079	7	30200001	30300000
7	39.92	7.08	7	30300001	30400000
7	39.92	7.081	7	30400001	30500000
7	39.92	7.082	7	30500001	30600000
7	40.08	7.083	7	30600001	30700000
7	40.24	7.084	7	30700001	30800000
7	40.24	7.085	7	30800001	30900000
7	40.24	7.086	7	30900001	31000000
7	40.24	7.087	7	31000001	31500000
7	40.24	7.088	7	31500001	32000000
7	40.40	7.051	7	25800001	25900000
7	40.40	7.052	7	25900001	26000000
7	40.40	7.053	7	26000001	26100000
7	40.40	7.054	7	26100001	26200000
7	40.40	7.055	7	26200001	26300000
7	40.72	7.089	7	32000001	32500000
7	40.72	7.09	7	32500001	33000000
7	40.72	7.091	7	33000001	33500000
7	40.88	7.092	7	33500001	34000000
7	41.36	7.094	7	34500001	35000000
7	42.16	7.095	7	35000001	35500000
7	42.16	7.096	7	35500001	36000000
7	43.32	7.097	7	36000001	36500000
7	44.04	7.098	7	36500001	37000000
7	44.29	7.099	7	37000001	37500000
7	45.53	7.1	7	37500001	38000000
7	46.64	7.093	7	34000001	34500000
7	46.87	7.101	7	38000001	38500000
7	48.19	7.102	7	38500001	39000000
7	49.00	7.103	7	39000001	39500000
7	51.54	7.104	7	39500001	40000000
7	53.02	7.105	7	40000001	40500000
7	54.33	7.106	7	40500001	41000000
7	57.84	7.107	7	41000001	41500000
7	60.81	7.108	7	41500001	42000000
7	63.95	7.109	7	42000001	42500000
7	68.10	7.11	7	42500001	43000000
7	69.39	7.111	7	43000001	43571201
